sample_id,subject,subject_category,cultural_sensitivity_label,is_annotated,answer,required_knowledge,time_sensitive,culture,region,country,reference,question_en,option_a_en,option_b_en,option_c_en,option_d_en,question_de,option_a_de,option_b_de,option_c_de,option_d_de,question_es,option_a_es,option_b_es,option_c_es,option_d_es
astronomy/test/58,astronomy,STEM,CS,True,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",When traveling north from the United States into Canada you’ll see the North Star (Polaris) getting _________.,Brighter,Dimmer,Higher in the sky,Lower in the sky,"Wenn Sie von den Vereinigten Staaten nach Norden in Richtung Kanada reisen, sehen Sie, wie der Polarstern (Polaris) _______ aussieht:",heller,dunkler,höher am Himmel,tiefer am Himmel,"Al viajar hacia el norte desde los Estados Unidos a Canadá, verás que la Estrella Polar (Polaris) se ve _________.",más brillante,más tenue,más alta en el firmamento,más abaja en el firmamento
astronomy/test/107,astronomy,STEM,CA,True,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']",[],[],[],"['-', '-', '-', '-']",What would weigh the most on the moon?,A kilogram of feathers,Five pounds of bricks as measured on Earth,Five kilograms of feathers,A kilogram of bricks,Was würde auf dem Mond am meisten wiegen?,Ein Kilogramm Federn,"Fünf Pfund Ziegelsteine, gemessen auf der Erde",Fünf Kilogramm Federn,Ein Kilogramm Ziegelsteine,¿Qué pesaría más en la luna?,Un kilogramo de plumas,Cinco libras de ladrillos medidos en la Tierra,Cinco kilogramos de plumas,Un kilogramo de ladrillos
business_ethics/test/10,business_ethics,Business,CA,True,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']",[],[],[],"['-', '-', '-', '-']"," What, according to Schnackenberg and Tomlinson (2014), are the three criteria which can be used to assess the quality of corporate transparency?","Breadth, Clarity, Accuracy","Disclosure, Detail, Accuracy","Disclosure, Clarity, Accuracy","Disclosure, Clarity, Efficiency","Welches sind laut Schnackenberg und Tomlinson (2014) die drei Kriterien, die zur Bewertung der Qualität der Unternehmenstransparenz herangezogen werden können?","Breite, Klarheit, Genauigkeit","Offenlegung, Details, Genauigkeit","Offenlegung, Klarheit, Genauigkeit","Offenlegung, Klarheit, Effizienz"," ¿Cuáles son, según Schnackenberg y Tomlinson (2014), los tres criterios que pueden utilizarse para evaluar la calidad de la transparencia corporativa?","Amplitud, claridad, precisión","Divulgación, detalle, precisión","Divulgación, claridad, precisión","Divulgación, claridad, eficiencia"
business_ethics/test/14,business_ethics,Business,CS,True,D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],"[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']",What are the three differing types of stakeholder theory according to Donaldson and Preston (1995)?,"Normative, Descriptive and Economic","Normative, Moral and Instrumental","Political, Descriptive and Instrumental","Normative, Descriptive and Instrumental",Welche drei verschiedenen Arten von Stakeholder-Theorien gibt es nach Donaldson und Preston (1995)?,"Normativ, deskriptiv und wirtschaftlich","Normativ, moralisch und instrumentell","Politisch, beschreibend und instrumentell","Normativ, deskriptiv und instrumentell",¿Cuáles son los tres tipos diferentes de teoría de las partes interesadas según Donaldson y Preston (1995)?,"Normativa, descriptiva y económica","Normativa, moral y fundamental","Política, descriptiva y fundamental","Normativa, descriptiva y fundamental"
business_ethics/test/25,business_ethics,Business,CS,True,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']",[],['North America'],['United States of America (USA)'],"['-', '-', '-', '-']","_______ is the term used to describe the ongoing approval and acceptance of a company's activities by society, especially among local communities and civil societies.",Enlightened self interest,Social licence to operate,Community approval,Supply chain responsibility,"_______ ist der Begriff, der die fortlaufende Zustimmung und Akzeptanz der Aktivitäten eines Unternehmens durch die Gesellschaft beschreibt, insbesondere durch lokale Gemeinschaften und Zivilgesellschaften.",Aufgeklärtes Selbstinteresse,Soziale Lizenz zum Handeln,Genehmigung der Gemeinschaft,Lieferketten-Verantwortung,"_______ es el término utilizado para describir la aprobación y aceptación continua de las actividades de una empresa por parte de la sociedad, especialmente entre las comunidades locales y las sociedades civiles.",Interés propio ilustrado,Licencia social para operar,Aprobación comunitaria,Responsabilidad de la cadena de suministro
business_ethics/test/27,business_ethics,Business,CS,True,C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']",['Western Culture'],[],[],"['-', '-', '-', '-', '-']"," _________, such as _______ and _______ are processes by which organisations implement environmental goals, policies and responsibilities and ensure regular auditing and reporting, which go beyond legal compliance.","Environmental management systems, SA8000, EMAS","Social accountability standards, ISO14001, SA8000","Environmental management systems, ISO14001, EMAS","Social accountability standards, EMAS, SA8000","_________, wie z. B. _______ und _______ sind Prozesse, mit denen Organisationen Umweltziele, -politik und -verantwortung umsetzen und eine regelmäßige Prüfung und Berichterstattung sicherstellen, die über die Einhaltung gesetzlicher Vorschriften hinausgehen.","Umweltmanagementsysteme, SA8000, EMAS","Normen zur sozialen Verantwortung, ISO14001, SA8000","Umweltmanagementsysteme, ISO14001, EMAS","Normen zur sozialen Verantwortung, EMAS, SA8000","Los/las _________, como _______ y _______ son procesos mediante los cuales las organizaciones implementan objetivos, políticas y responsabilidades ambientales y garantizan auditorías e informes periódicos, que van más allá del cumplimiento legal.","Sistemas de gestión ambiental, SA8000, EMAS","Normas de responsabilidad social, ISO14001, SA8000","Sistemas de gestión ambiental, ISO14001, EMAS","Normas de responsabilidad social, EMAS, SA8000"
business_ethics/test/44,business_ethics,Business,CS,True,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']",['Western Culture'],[],[],"['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]","________ is the use of language of to mask or expose the ethical nature of decisions, actions and behaviours.",Ethical splicing,Moral framing,Ethical window dressing,Moral splicing,"________ ist die Verwendung von Sprache, um die ethische Natur von Entscheidungen, Handlungen und Verhaltensweisen zu verschleiern oder zu entlarven.",Ethisches Spleißen,Moralisches Framing,Ethische Augenwischerei,Moralisches Spleißen,"________ es el uso del lenguaje para enmascarar o exponer la naturaleza ética de las decisiones, acciones y comportamientos.",Empalme ético,Encuadre moral,Engaño ético,Empalme moral
business_ethics/test/52,business_ethics,Business,CA,True,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']",[],[],[],"['-', '-', '-', '-']","The state of being unable to make an informed, reasoned decision about a product purchase is known as?",Consumer inclusion,Consumer competence,Consumer exclusion,Consumer vulnerability,"Der Zustand, in dem man nicht in der Lage ist, eine informierte, begründete Entscheidung über den Kauf eines Produkts zu treffen, ist bekannt als?",Einbeziehung der Verbraucher,Verbraucherkompetenz,Ausschluss der Verbraucher,Anfälligkeit der Verbraucher,¿Como se conoce el estado de incapacidad para tomar una decisión informada y razonada sobre la compra de un producto?,Inclusión del consumidor,Capacidad del consumidor,Exclusión del consumidor,Vulnerabilidad del consumidor
business_ethics/test/54,business_ethics,Business,CS,True,A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['Western Culture', 'Western Culture']",[],[],"['-', '-', '-', '-']",_______ and _______ are both examples of _______ -based theories which are based on basic universal principles of right and wrong.,"Ethics of duty, Ethics of rights and justice, Principle","Utilitarianism, Egoism, Principle","Ethics of duty, Utilitarianism, Consequentialist","Egoism, Ethics of rights and justice, Consequentialist","_______ und _______ sind beides Beispiele für _______ -basierte Theorien, die auf grundlegenden universellen Prinzipien von Recht und Unrecht beruhen.","Ethik der Pflicht, Ethik der Rechte und Gerechtigkeit, Prinzip","Utilitarismus, Egoismus, Prinzip","Pflichtethik, Utilitarismus, Konsequentialismus","Egoismus, Ethik der Rechte und Gerechtigkeit, Konsequentialismus",La _______ y _______ son ejemplos de teorías basadas en _______ que se basan en principios universales básicos del bien y del mal.,"Ética del deber, ética de los derechos y la justicia, principios","Utilitarismo, egoísmo, principio","Ética del deber, utilitarismo, consecuencialista","Egoísmo, ética de los derechos y la justicia, consecuencialista"
business_ethics/test/57,business_ethics,Business,CS,True,A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]",_________ such as the ________ in the United States is a key factor in driving ethical business practices.,"Legislation, Sarbanes-Oxley Act","Internal company policy, Unethical corporate practices act","Internal company policy, Sarbanes-Oxley Act","Legislation, Unethical corporate practices act",_________ wie die ________ in den Vereinigten Staaten ist ein Hauptfaktor für die Förderung ethischer Geschäftspraktiken.,"Gesetzgebung, Sarbanes-Oxley Act","Interne Unternehmensrichtlinien, Gesetz gegen unethische Geschäftspraktiken","Interne Unternehmensrichtlinien, Sarbanes-Oxley Act","Gesetzgebung, Gesetz gegen unlautere Geschäftspraktiken",La _________ como la ________ en los Estados Unidos es un factor clave para impulsar prácticas comerciales éticas.,"Legislación, Ley Sarbanes-Oxley","Política interna de la empresa, ley de prácticas corporativas poco éticas","Política interna de la empresa, Ley Sarbanes-Oxley","Legislación, ley de prácticas corporativas poco éticas"
